Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
65;391.6263155937195;835.428674411095;711.9246555689172;678.7193375384329;660.650597752161
66;397.16113328933716;835.428674411095;739.0006684515873;668.6592918325156;614.4416388110229
67;402.65330696105957;835.428674411095;780.7908523116856;623.4723676557561;551.3153523357626
68;408.5332932472229;835.428674411095;676.1382261783585;601.8936411051341;536.2759041920153
69;414.38494634628296;835.428674411095;645.3748249304135;504.04692160358627;465.8088865226928
70;419.93927335739136;835.428674411095;690.0126597671385;601.5850999162219;524.8667497581143
71;425.83318042755127;835.428674411095;779.705014572328;588.1803368641545;560.7605226311499
72;431.68849086761475;835.428674411095;617.1994852188462;594.0838862093892;583.2179862264632
73;437.3584215641022;835.428674411095;615.6067348251701;586.4073034580463;577.5772375854358
74;442.7433331012726;835.428674411095;723.312209035441;673.3352527914759;620.831281254746
75;447.85561060905457;835.428674411095;558.6447547171958;477.14121153611615;477.1174421028003
76;452.885379076004;835.428674411095;650.9027217646019;648.2692122346407;533.1113247864848
77;458.668292760849;835.428674411095;792.9539792167292;648.0908312579354;629.0835806137985
78;464.63691210746765;835.428674411095;619.5138909977394;617.1014199039604;611.624379627117
79;470.0814743041992;835.428674411095;688.0683295351541;551.4029618609025;472.06286131644345
80;476.126606464386;835.428674411095;593.4397053593718;590.587832622141;550.8605740950659
81;482.18828892707825;835.428674411095;642.433939233109;638.936075270871;564.0256833096641
82;488.3170247077942;835.428674411095;676.7009326180403;536.8845532230453;533.2982961516474
83;494.04963064193726;835.428674411095;605.9581849782272;572.0508482397032;542.1561933583902
84;500.01996994018555;835.428674411095;538.071639907065;505.7151903094001;450.72076591476184
85;505.63726353645325;835.428674411095;658.8854053124695;646.1417955642803;645.5695531609081
86;511.92237186431885;835.428674411095;753.7643620293924;667.5974567361834;644.126467164136
87;518.1386260986328;835.428674411095;742.3163464882704;659.2648862285666;611.5664965990009
88;524.4643507003784;835.428674411095;659.501025093543;650.1444755037212;607.0549499100077
89;530.4736597537994;835.428674411095;666.7403113873224;658.9320036426079;650.0567117687116
90;536.7192974090576;835.428674411095;681.2698828734199;575.3107672390771;484.4492214894418
91;542.6267855167389;835.428674411095;640.4617113811232;551.5921560266659;514.951142480637
92;548.3936071395874;835.428674411095;677.4006199638385;583.9348829370585;561.2998917756523
93;554.1625831127167;835.428674411095;659.6079789371769;533.1721195618161;482.1011025620842
